doi	author_priority	topic	in_corpus	radar_priority	direction	direction_name	publication_date	bucket_date	scorer_version	title	relevance_to_user	summary_motivation	daily_page_url	miss_reason	verdict
10.1002/cnm.70049	must_read	形状多目标优化	true	Low	hip_implant	Hip Implant & Femoral Stem	2025-07-01	2025-07-01	v3	A Novel Finite Element Analysis Aided Multiobjective Shape Optimization Approach for Cementless Femoral Components in Hip Implants.			https://prezblublu-sun.github.io/research-radar/2025-07-01.html#doi-10-1002-cnm-70049		under_scored
10.3390/app15073522	must_read	代理模型	false											direction_mismatch_likely	missing_must_read
10.1186/s13018-025-06389-5	must_read	患者特异多孔柄	true	Low	hip_implant	Hip Implant & Femoral Stem	2025-11-14	2025-11-14	v3	Design and optimisation of patient-specific porous femoral stems.			https://prezblublu-sun.github.io/research-radar/2025-11-14.html#doi-10-1186-s13018-025-06389-5		under_scored
10.1016/j.jmbbm.2024.106864	must_read	TPMS+骨改建	true	Medium	am_biomedical	AM Biomedical Materials	2025-03-01	2025-03-01	v3	Developing porous hip implants implementing topology optimization based on the bone remodelling model and fatigue failure.	该论文直接针对髋关节植入物应力屏蔽问题，使用拓扑优化和多孔结构设计，但缺乏实验验证。	实体髋关节植入物导致应力屏蔽和骨吸收，需要多孔结构降低刚度。	https://prezblublu-sun.github.io/research-radar/2025-03-01.html#doi-10-1016-j-jmbbm-2024-106864		correct_must_read
10.3390/app14083200	must_read	综述	false											direction_mismatch_likely	missing_must_read
10.1016/j.medengphy.2016.08.008	useful	改建刺激比较	false											direction_mismatch_likely	missing_useful
10.1038/s41598-018-36503-z	useful	直接应力遮挡	true	High	hip_implant	Hip Implant & Femoral Stem	2019-01-24	2019-01-24	v3	Anatomic grooved stem mitigates strain shielding compared to established total hip arthroplasty stem designs in finite-element models.	该论文直接使用有限元模型量化了不同股骨柄设计对近端股骨应变屏蔽的影响，并比较了完整与植入后股骨的应变分布，与用户研究方向高度相关。	分析不同股骨柄设计对近端骨应变屏蔽的影响，以减轻骨丢失。	https://prezblublu-sun.github.io/research-radar/2019-01-24.html#doi-10-1038-s41598-018-36503-z		over_scored
10.1186/s13018-020-02027-4	useful	直接应力遮挡	true	High	hip_implant	Hip Implant & Femoral Stem	2020-10-29	2020-10-29	v3	Metaphyseal anchoring short stem hip arthroplasty provides a more physiological load transfer: a comparative finite element analysis study.	该论文直接比较了短柄与标准髋关节假体植入后的股骨应力分布，为应力遮挡研究提供了关键参考。	比较短柄与标准柄髋关节置换术后股骨近端应力分布	https://prezblublu-sun.github.io/research-radar/2020-10-29.html#doi-10-1186-s13018-020-02027-4		over_scored
10.1186/s13018-022-03329-5	useful	初始稳定性	false											direction_mismatch_likely	missing_useful
10.1002/jor.25808	useful	初始稳定性	true	High	hip_implant	Hip Implant & Femoral Stem	2024-07-01	2024-07-01	v3	Influence of offset on osseointegration in cementless total hip arthroplasty: A finite element study.	本文直接量化全髋关节置换中股骨假体的微动，与用户关注的骨-植入物界面稳定性和微动阈值高度相关。	研究股骨距偏移对无骨水泥全髋关节置换假体微动的影响。	https://prezblublu-sun.github.io/research-radar/2024-07-01.html#doi-10-1002-jor-25808		over_scored
10.1016/j.jbiomech.2004.05.023	useful	初始稳定性载荷	false											out_of_window	missing_useful
10.1007/s42235-018-0057-1	useful	多孔梯度柄	false											direction_mismatch_likely	missing_useful
10.1007/s10856-020-06420-7	useful	可制造多孔柄	true	High	hip_implant	Hip Implant & Femoral Stem	2020-08-20	2020-08-20	v3	A novel design, analysis and 3D printing of Ti-6Al-4V alloy bio-inspired porous femoral stem.	该论文直接涉及髋关节股骨柄设计，提出多孔结构以减少应力遮挡，与用户研究方向高度相关。	设计刚度接近骨组织的多孔股骨柄以减少应力遮挡。	https://prezblublu-sun.github.io/research-radar/2020-08-20.html#doi-10-1007-s10856-020-06420-7		over_scored
10.1016/j.jot.2022.11.001	useful	新型晶格	true	Medium	hip_implant	Hip Implant & Femoral Stem	2023-01-01	2023-01-01	v3	Capability of auxetic femoral stems to reduce stress shielding after total hip arthroplasty.	该论文直接研究髋关节假体股骨柄的应力遮挡问题，与用户研究方向高度相关。	股骨柄应力遮挡是THA术后翻修的主要机械原因，引入负泊松比结构以减少应力遮挡。	https://prezblublu-sun.github.io/research-radar/2023-01-01.html#doi-10-1016-j-jot-2022-11-001		correct_useful
10.3390/ma16083151	useful	多尺度拓扑优化	true	Medium	hip_implant	Hip Implant & Femoral Stem	2023-04-17	2023-04-17	v3	Multi-Scale Topology Optimization of Femoral Stem Structure Subject to Stress Shielding Reduce.	本文提出多尺度拓扑优化方法设计股骨柄以降低应力遮挡，与用户研究方向直接相关。	提出多尺度拓扑优化方法减少股骨柄应力遮挡	https://prezblublu-sun.github.io/research-radar/2023-04-17.html#doi-10-3390-ma16083151		correct_useful
10.1038/s44455-025-00003-8	useful	功能梯度TPMS	true	Low	am_biomedical	AM Biomedical Materials	2025-08-11	2025-08-11	v3	A Computational Optimisation Study of Hip Implant Using Density Mapping Functionally Graded Biomimetic TPMS-based Lattice Structures			https://prezblublu-sun.github.io/research-radar/2025-08-11.html#doi-10-1038-s44455-025-00003-8		correct_useful
10.1007/s10237-024-01903-w	useful	降阶模型	false											direction_mismatch_likely	missing_useful
10.1016/j.xnsj.2025.100598	useful	物理信息代理	false											direction_mismatch_likely	missing_useful
10.1093/jcde/qwad072	useful	综述	false											direction_mismatch_likely	missing_useful
10.1016/j.cad.2022.103225	peripheral	RL设计探索	false											direction_mismatch_likely	missing_peripheral
10.1016/j.engappai.2025.112273	peripheral	RL设计探索	false											direction_mismatch_likely	missing_peripheral
